design,cycles,runs,sim_ns_median,verilator_ns_median,sim_cycles_per_sec,verilator_cycles_per_sec,verilator_over_sim,checksum,iverilog_ns_median,iverilog_cycles_per_sec,sim_over_iverilog
lfsr,1000000,10,463296329,69634861,2158446,14360623,6.7,0a874f2b754fad67,2545832934,392799,5.5
det_110101,1000000,10,268939125,69924462,3718314,14301147,3.8,f27fdf85d4d0bd34,4713883256,212139,17.5
dual_port_ram,1000000,10,588929144,92029076,1697997,10866131,6.4,103857e13c261c65,5162461245,193706,8.8
rv32i_cpu_transpilable,1000000,10,1226632390,160476363,815240,6231447,7.6,d91f03a57ae34ee5,54105365416,18482,44.1
